Price Date,Open Price
18/05/2020,659.85
15/05/2020,664.8
14/05/2020,659
13/05/2020,694.8
12/05/2020,678.5
11/05/2020,682.5
08/05/2020,672.25
07/05/2020,665.55
06/05/2020,676.9
05/05/2020,681.75
04/05/2020,689.8
30/04/2020,700
29/04/2020,666
28/04/2020,673
27/04/2020,661.05
24/04/2020,668.55
23/04/2020,647.05
22/04/2020,633.2
21/04/2020,627.8
20/04/2020,640
17/04/2020,644
16/04/2020,619.95
15/04/2020,651.4
13/04/2020,629
09/04/2020,646.8
08/04/2020,630
07/04/2020,615
03/04/2020,603.5
01/04/2020,634.35
31/03/2020,650
30/03/2020,625.1
27/03/2020,665.05
26/03/2020,615
25/03/2020,597
24/03/2020,522
23/03/2020,540
20/03/2020,549.5
19/03/2020,509.25
18/03/2020,568
17/03/2020,588.1
16/03/2020,622
13/03/2020,592
12/03/2020,668
11/03/2020,690.65
09/03/2020,724.5
06/03/2020,741
05/03/2020,763.75
04/03/2020,753.9
03/03/2020,755
02/03/2020,737
28/02/2020,750
27/02/2020,778
26/02/2020,793.95
25/02/2020,799
24/02/2020,800.1
20/02/2020,803.25
19/02/2020,800
18/02/2020,785
17/02/2020,790.3
14/02/2020,794.5
13/02/2020,785
12/02/2020,775.8
11/02/2020,779
10/02/2020,774
07/02/2020,775.95
06/02/2020,784.35
05/02/2020,781
04/02/2020,770.1
03/02/2020,782
01/02/2020,775.1
31/01/2020,780.55
30/01/2020,789.7
29/01/2020,786.6
28/01/2020,781
27/01/2020,779.05
24/01/2020,775.75
23/01/2020,777.1
22/01/2020,768.45
21/01/2020,768.45
20/01/2020,771.6
17/01/2020,770.7
16/01/2020,770.7
15/01/2020,773.85
14/01/2020,769.95
13/01/2020,760
10/01/2020,740.45
09/01/2020,721.7
08/01/2020,724.95
07/01/2020,738
06/01/2020,746.1
03/01/2020,733.9
02/01/2020,738.9
01/01/2020,735
