Price Date,Open Price,High Price,Low Price,Close Price
12/05/2020,678.5,691,675.5,687.65
11/05/2020,682.5,698.55,678,682.9
08/05/2020,672.25,680.9,668.5,674.2
07/05/2020,665.55,674.35,662.45,664.95
06/05/2020,676.9,681.45,664.05,665.9
05/05/2020,681.75,685.6,670,673.7
04/05/2020,689.8,701.2,670.35,673.7
30/04/2020,700,720,698.1,715.5
29/04/2020,666,682,658,676.55
28/04/2020,673,677,653.05,660.7
27/04/2020,661.05,681,661.05,664.6
24/04/2020,668.55,675,654.8,658
23/04/2020,647.05,683.65,638.1,679.3
22/04/2020,633.2,645,628.05,641.85
21/04/2020,627.8,646.5,627.8,633.2
20/04/2020,640,661,639,653.3
17/04/2020,644,646,626,628.75
16/04/2020,619.95,634.9,603.5,623.85
15/04/2020,651.4,653.3,635.6,639.05
13/04/2020,629,651.7,626.05,637.4
09/04/2020,646.8,652.8,632.1,636.25
08/04/2020,630,655.65,626.35,631.6
07/04/2020,615,644.25,612.9,639
03/04/2020,603.5,606,582.15,585.7
01/04/2020,634.35,637.5,594,602.8
31/03/2020,650,662,633.7,641.5
30/03/2020,625.1,663.5,621.1,626.7
27/03/2020,665.05,674.9,642.25,652.7
26/03/2020,615,650.85,612.1,643
25/03/2020,597,635,565.7,606.2
24/03/2020,522,601.15,522,589.8
23/03/2020,540,560.95,515.9,526.45
20/03/2020,549.5,617.45,548,585.2
19/03/2020,509.25,558,509.25,545.55
18/03/2020,568,578,528,534.3
17/03/2020,588.1,592,550,554.95
16/03/2020,622,622.15,580,583.15
13/03/2020,592,667,570,642.35
12/03/2020,668,670,627.5,631.2
11/03/2020,690.65,695.95,669.05,686
09/03/2020,724.5,725.85,697,704.45
06/03/2020,741,744,729.1,738.95
05/03/2020,763.75,773.55,751.75,754.6
04/03/2020,753.9,761.5,745.55,758.75
03/03/2020,755,759,741.25,747
02/03/2020,737,765.9,733.75,741.05
28/02/2020,750,756.8,722.05,731.7
27/02/2020,778,780.75,772.2,777.85
26/02/2020,793.95,801.45,780.5,782.75
25/02/2020,799,806,795.4,798.4
24/02/2020,800.1,811.6,792.15,795.85
20/02/2020,803.25,806.1,793.85,797
19/02/2020,800,804.85,796.15,800.45
18/02/2020,785,799.05,783.65,797.65
17/02/2020,790.3,793.45,783.3,789.45
14/02/2020,794.5,799.2,784.6,786.45
13/02/2020,785,794,782.2,792.25
12/02/2020,775.8,783.25,775.1,781.05
11/02/2020,779,779.1,769.2,773.55
10/02/2020,774,778,769.75,773.2
07/02/2020,775.95,778.85,771,777.3
06/02/2020,784.35,786.8,770,771.35
05/02/2020,781,786,774.4,784.55
04/02/2020,770.1,789.9,770.1,787.85
03/02/2020,782,790.95,764.5,767.4
01/02/2020,775.1,791.25,769.25,779.5
31/01/2020,780.55,784.95,771.6,775.95
30/01/2020,789.7,789.7,778,780.7
